leg,cart_offset,length,dest,mode,above_16m
2p-stages,0x04e06000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04e0f800,0x4800,0x0de86be0,DMA,1
2p-stages,0x04e14000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04e1d800,0x9800,0x0de573e0,DMA,1
2p-stages,0x04e27000,0x9800,0x0de60be0,DMA,1
2p-stages,0x04e30800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04e3a000,0x9800,0x0de73be0,DMA,1
2p-stages,0x04e43800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04e4d000,0x4800,0x0de86be0,DMA,1
2p-stages,0x04e51800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04e5b000,0x9800,0x0de573e0,DMA,1
2p-stages,0x04e64800,0x9800,0x0de60be0,DMA,1
2p-stages,0x04e6e000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04e77800,0x9800,0x0de73be0,DMA,1
2p-stages,0x04e81000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04e8a800,0x4800,0x0de86be0,DMA,1
2p-stages,0x04e8f000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x04e98800,0x9800,0x0de573e0,DMA,1
2p-stages,0x04ea2000,0x9800,0x0de60be0,DMA,1
2p-stages,0x04eab800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x04eb5000,0x9800,0x0de73be0,DMA,1
2p-stages,0x04ebe800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x04ec8000,0x4800,0x0de86be0,DMA,1
char-cuilan,0x04ecc800,0x9800,0x0de4dbe0,DMA,1
char-cuilan,0x04ed6000,0x9800,0x0de573e0,DMA,1
char-cuilan,0x04edf800,0x9800,0x0de60be0,DMA,1
char-cuilan,0x04ee9000,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x04ef2800,0x9800,0x0de73be0,DMA,1
char-cuilan,0x04efc000,0x9800,0x0de7d3e0,DMA,1
char-cuilan,0x04f05800,0x4800,0x0de86be0,DMA,1
char-cuilan,0x04f0a000,0x9800,0x0de4dbe0,DMA,1
char-cuilan,0x04f13800,0x9800,0x0de573e0,DMA,1
char-cuilan,0x04f1d000,0x9800,0x0de60be0,DMA,1
char-cuilan,0x04f26800,0x9800,0x0de6a3e0,DMA,1
char-cuilan,0x04f30000,0x9800,0x0de73be0,DMA,1
char-cuilan,0x04f39800,0x9800,0x0de7d3e0,DMA,1
